B151	Betz-Converse-Murdoch Inc	1
B152	Betz Laboratories, Inc	1
B153	BG Electronics, Inc	1
B154	BGS Systems, Inc	1
B155	The Bibb Company	1
B156	Bicron Electronics Company	1
B157	Bicycles & Exotic Energy	1
B158	James G Biddle Company	1
B159	Big Three Industries Inc	1
B160	Bikor Corporation	1
B161	Biles and Associates	1
B162	Billings Energy Corporation	1
B163	Binary Systems, Inc	1
B164	Samuel Binghani Co	1
B165	Binks Mfg Co	1
B166	Bio-Acoustical Engineering Corporation	1
B167	Bioanalytical Systems, Inc	1
B168	Bioassay Systems Corporation	1
B169	Bio Con	1
B170	Bio/Dynamics	1
B171	Bioenergetics, Inc	1
B172	Bio-Energy Systems, Inc	1
B173	Biofluids, Inc	1
B174	Bio-Gas of Colorado, Inc	1
B175	Bio Industrial Lab	1
B176	Bio-Lab, Inc	1
B177	BioLabs, Inc	1
B178	Biomass Corp	1
B179	Biomeasure, Incorporated	1
B180	Biomedical Research Institute	1
B181	Bio-Medical Sciences Inc	1
B182	Bio-Med, Inc	1
B183	Biomed Research Laboratories, Inc	1
B184	The Bionetics Corporation	2
B186	Georgia-Pacific Corporation, Gypsum Division, Product Development Laboratory G1O8.5 Bioproducts, Inc	1
B187	Bio-Rad Laboratories, Inc	1
B188	Bio-Research Consultants, Inc	1
B189	Bio-Search & Development Co, Inc	1
B190	Biospherics Incorporated	1
B191	Biosystems Associates, Ltd	2
B193	Bio Systems, Inc	1
B194	Bio-Systems Research, Inc	1
B195	Bio-Technical Resources, Inc	1
B196	Bio-Technics Laboratories, Inc	1
B197	Biotechnology, Inc	1
B198	Biotech Research Laboratories, Inc	1
B199	Bio-Tek Instruments Incorporated	1
B200	Teleproducts Division A53O.8 Bioteknika International Inc	1
B201	Biotron, Inc	1
B202	Bird & Son, Inc	1
B203	Bird Engineering-Research Associates, Inc	1
B204	Belding Heminway Co, Inc BllO Charles Birnstiel Consulting Engineer	1
B205	Biro Manufacturing Company	1
B206	Birtcher Corporation	1
B207	Bishop Engineering Company	1
B208	Bitrode Corporation	1
B209	Bituminous Coal Research, Inc	1
B210	Bituminous Materials Co, Inc	1
B211	Ira Bitz & Associates, Ltd	1
B212	BIW Cable Systems Inc	1
B213	Bjorksten Research Laboratories, Inc	1
B214	B-K Dynamics, Inc	1
